Naziv;Kolicina;Cena stavke
Prelazna guma fi 110;1;113
PVC klizna spojka fi 110;1;281.89
PVC cev fi 110/1000;0;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;1;133.87
PVC luk fi 110/45;0;191.81
Sikafleks;1;961.54
Rezna ploča 125 mm;3;123.2
Pocinkovana cev fi 2 1/2;1.5;1335
Klizna spojnica fi 2 1/2;1;4402
Rezna ploča 125 mm;3;123.2
PVC cev fi 110/1000;3;395.28
PVC cev fi 110/500;2;225.99
PVC cev fi 110/250;2;133.87
PVC klizna spojka fi 110;1;281.89
LG prelaz fi 110;1;1485
HL prelaz fi 110;1;3979
Prelazna guma fi 110;2;113
PVC cev fi 160/2000;2;1710
PVC redukcija fi 200/160;1;896.87
Sikafleks;1;961.54
Staklarski git (tuba 1 kg);1;165
PVC cev fi 160/500;1;527.62
Pocinkovana cev fi 5/4;15;907
Pocinkovano koleno fi 5/4;5;193.8
Pocinkovani T-komad fi 5/4;2;252
Pocinkovani muf fi 5/4;6;145.4
Pocinkovani holender fi 5/4;2;405.1
Klizna spojnica fi 5/4;2;1588
Pocinkovani dupli nipl fi 5/4;6;120.2
Pocinkovana redukcija 5/4-3/4;2;129.9
Klizna spojnica fi 3/4;2;634
Pocinkovani T-komad fi 3/4;1;96.9
Pocinkovani dupli nipl fi 3/4;5;58.6
Pocinkovani muf fi 3/4;2;56.2
Rezna ploča 125 mm;4;123.2
Kalijev sapun (kutija od 0,75 kg);1;342
LG prelaz fi 110;1;1485
LG prelaz fi 75;3;730
Prelazna guma fi 110;1;113
Prelazna guma fi 75;3;101
Prelazna guma fi 160;1;180
PVC revizija fi 160;1;1629
PVC kosa  račva-T fi 160/110;1;884.34
PVC luk fi 110/45;1;191.81
PVC redukcija fi 110/75;1;114.9
PVC redukcija fi 160/110;1;391.77
PVC kosa  račva-T fi 75/75;2;150.52
PVC luk fi 75/45;6;85.09
PVC luk fi 160/90;1;760.33
PVC cev fi 160/2000;1;1710
PVC cev fi 160/1000;1;879.43
PVC cev fi 160/500;1;527.62
PVC cev fi 160/250;1;317.27
PVC cev fi 110/250;2;133.87
PVC cev fi 75/1000;1;310.85
PVC cev fi 75/500;3;188.25
PVC cev fi 75/250;2;116.74
Rezna ploča 125 mm;2;123.2
Sikafleks;1;961.54
PVC cev fi 125/2000;1;1040.36
PVC cev fi 125/500;1;284.93
LG prelaz fi 125;1;1595
Prelazna guma fi 125;1;170
Rezna ploča 125 mm;2;123.2
Sikafleks;1;961.54
Kugla ventil fi 6/4;2;2212.3
Klizna spojnica fi 6/4;2;2650
Pocinkovani dupli nipl fi 6/4;4;184.2
LG prelaz fi 160;1;2220
PVC cev fi 160/2000;0;1710
PVC cev fi 160/500;1;527.62
PVC klizna spojka fi 160;0;489.36
PVC revizija fi 160;2;1629
Prelazna guma fi 160;2;180
PVC kosa  račva-T fi 160/110;1;884.34
PVC luk fi 110/45;1;191.81
PVC luk fi 110/90;1;191.81
PVC cev fi 110/250;2;133.87
LG prelaz fi 110;1;1485
Prelazna guma fi 110;1;113
Sikafleks;1;961.54
Pocinkovani muf fi 2;0;295.9
Pocinkovana cev fi 2;6;1200
Pocinkovano koleno fi 2;0;416.8
Klizna spojnica fi 2;0;3716
Pocinkovani dupli nipl fi 2;1;270.9
Kugla ventil fi 2;0;2715
Kugla ventil fi 2;1;2715
Pocinkovano koleno fi 2;1;416.8
Pocinkovani dupli nipl fi 2;1;270.9
Pocinkovana cev fi 2;0.5;1200
Rezna ploča 230 mm;1;290
Pocinkovana cev fi 5/4;3;907
Pocinkovana cev fi 1;3;619
Klizna spojnica fi 5/4;1;1588
Klizna spojnica fi 1;1;964
Pocinkovani dupli nipl fi 5/4;1;120.2
Pocinkovani dupli nipl fi 1;1;83.4
Pocinkovana cev fi 5/4;3;907
Klizna spojnica fi 5/4;2;1588
Pocinkovani T-komad fi 5/4;1;252
Pocinkovana redukcija 5/4-1/2;1;129.9
Pocinkovani muf fi 5/4;1;145.4
Čep fi 1/2;1;39.7
Pocinkovana cev fi 1;2;619
Pocinkovani T-komad fi 1;1;168.7
Pocinkovana redukcija 1-1/2;1;81.4
Klizna spojnica fi 1;2;964
Pocinkovana cev fi 5/4;8;907
Pocinkovano koleno fi 5/4;2;193.8
Pocinkovani dupli nipl fi 5/4;4;120.2
Pocinkovani muf fi 5/4;2;145.4
Klizna spojnica fi 5/4;1;1588
Kugla ventil fi 5/4;1;1488.8
Pocinkovani dupli nipl fi 5/4;10;120.2
Kugla ventil fi 5/4;4;1488.8
Pocinkovani holender fi 5/4;4;405.1
Pocinkovani T-komad fi 5/4;1;252
Pocinkovano koleno fi 5/4;1;193.8
Pocinkovana redukcija 5/4-1/2;1;129.9
Pocinkovana cev fi 5/4;8;907
Pocinkovana cev fi 2;1;1200
Pocinkovano koleno fi 2;1;416.8
Pocinkovani holender fi 2;1;827.3
Pocinkovana redukcija 2 1/2-2;1;375.4
Kudelja - 100 gr;2;145
Rezna ploča 125 mm;3;123.2
PVC redukcija fi 200/160;2;896.87
PVC klizna spojka fi 160;2;489.36
PVC cev fi 160/2000;1;1710
PVC cev fi 160/1000;3;879.43
PVC cev fi 160/500;1;527.62
PVC račva-T fi 75/75;2;151.03
Prelazna guma fi 160;1;180
LG prelaz fi 75;2;730
PVC luk fi 75/90;1;85.09
Pocinkovana cev fi 2 1/2;11;1335
Pocinkovana cev fi 5/4;2;907
Kugla ventil fi 2 1/2;1;6132
Kugla ventil fi 2;1;2715
Kugla ventil fi 5/4;1;1488.8
Pocinkovani holender fi 2 1/2;2;1427.4
Pocinkovani holender fi 2;1;827.3
Pocinkovani holender fi 5/4;0;405.1
Pocinkovani T-komad fi 2 1/2;1;1112.7
Pocinkovano koleno fi 2 1/2;4;731.4
Pocinkovano koleno fi 5/4;2;193.8
Klizna spojnica fi 2 1/2;0;4402
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 2 1/2;2;452.2
Pocinkovani dupli nipl fi 2;1;270.9
Pocinkovani dupli nipl fi 5/4;1;120.2
Map gas;2;688
Kudelja - 100 gr;1;145
Kugla ventil fi 6/4;1;2212.3
Pocinkovani holender fi 6/4;1;536.9
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovani muf fi 2 1/2;0;521
Kugla ventil fi 5/4;8;1488.8
Klizna spojnica fi 5/4;8;1588
Pocinkovani dupli nipl fi 5/4;10;120.2
Pocinkovani muf fi 5/4;6;145.4
Pocinkovana cev fi 5/4;16;907
Rezna ploča 125 mm;5;123.2
Kudelja - 100 gr;1;145
Map gas;1;688
Pocinkovana redukcija 6/4-5/4;2;151.2
Pocinkovani dupli nipl fi 1;2;83.4
Kugla ventil fi 1;1;918.8
Klizna spojnica fi 1;1;964
Pocinkovana cev fi 3;3;1997
Klizna spojnica fi 3;1;5285
Pocinkovani dupli nipl fi 3;0;823.6
PVC cev fi 110/2000;2;790.36
PVC cev fi 110/250;2;133.87
PVC revizija fi 110;1;329.03
HL prelaz fi 110;2;3979
PVC luk fi 110/90;2;191.81
PVC luk fi 110/45;2;191.81
Pocinkovana cev fi 1;2.5;619
Klizna spojnica fi 1;2;964
Pocinkovani dupli nipl fi 1;2;83.4
Kudelja - 100 gr;1;145
Kugla ventil fi 1;1;918.8
LG prelaz fi 75;1;730
Prelazna guma fi 75;2;101
HL prelaz fi 75;1;3152
PVC klizna spojka fi 75;1;246.78
PVC cev fi 75/2000;1;621.87
PVC cev fi 75/500;1;188.25
PVC cev fi 75/250;1;116.74
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/500;1;225.99
HL prelaz fi 110;1;3979
Prelazna guma fi 110;1;113
PVC klizna spojka fi 110;2;281.89
Pocinkovana redukcija 5/4-1;5;129.9
Pocinkovani dupli nipl fi 5/4;4;120.2
Pocinkovani dupli nipl fi 1;13;83.4
Kugla ventil fi 5/4;2;1488.8
Kugla ventil fi 1;6;918.8
Pocinkovani holender fi 5/4;2;405.1
Pocinkovani holender fi 1;6;261.7
Pocinkovana cev fi 5/4;2.5;907
Pocinkovana cev fi 1;7;619
Pocinkovani T-komad fi 1;1;168.7
Pocinkovana redukcija 1-1/2;1;81.4
Pocinkovano koleno fi 1;1;129.9
Rezna ploča 125 mm;3;123.2
Pocinkovana cev fi 1;2;619
Klizna spojnica fi 1;1;964
Pocinkovani dupli nipl fi 1;1;83.4
Čep fi 3/4 ;1;44.6
Rezna ploča 125 mm;1;123.2
Pocinkovani dupli nipl fi 5/4;2;120.2
Klizna spojnica fi 5/4;1;1588
Kugla ventil fi 5/4;1;1488.8
Pocinkovana cev fi 5/4;1.5;907
Kugla ventil fi 2 1/2;1;6132
Pocinkovani dupli nipl fi 2 1/2;1;452.2
Pocinkovani muf fi 2 1/2;0;521
Pocinkovani holender fi 2 1/2;0;1427.4
Kudelja - 100 gr;1;145
Klizna spojnica fi 2 1/2;1;4402
PVC cev fi 200/1000;5;1403.43
PVC cev fi 200/500;0;778.61
Keramički prelaz fi 200;1;5940
PVC redukcija fi 250/200;0;4210
Staklarski git (tuba 1 kg);1;165
Pocinkovana cev fi 6/4;2.5;1094
Klizna spojnica fi 6/4;2;2650
Pocinkovani T-komad fi 6/4;1;323.7
Pocinkovana redukcija 6/4-1/2;1;151.2
Pocinkovani muf fi 6/4;0;178.3
Pocinkovani dupli nipl fi 6/4;0;184.2
PVC cev fi 110/250;1;133.87
PVC račva-T fi 110/110;1;349.21
PVC klizna spojka fi 110;2;281.89
Pocinkovana cev fi 6/4;3;1094
Kugla ventil fi 6/4;1;2212.3
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovani muf fi 6/4;1;178.3
Klizna spojnica fi 6/4;1;2650
Kugla ventil fi 5/4;2;1488.8
Klizna spojnica fi 5/4;2;1588
Pocinkovani dupli nipl fi 5/4;4;120.2
LG prelaz fi 160;1;2220
PVC cev fi 160/1000;2;879.43
Prelazna guma fi 160;2;180
PVC klizna spojka fi 160;2;489.36
Sikafleks;1;961.54
Rezna ploča 125 mm;1;123.2
PVC revizija fi 160;1;1629
LG prelaz fi 160;1;2220
Prelazna guma fi 160;2;180
PVC luk fi 160/45;2;760.3
PVC luk fi 160/90;1;760.33
PVC klizna spojka fi 160;2;489.36
PVC cev fi 160/2000;1;1710
Pocinkovani dupli nipl fi 1;2;83.4
Pocinkovani dupli nipl fi 6/4;8;184.2
Pocinkovana cev fi 1;2;619
Pocinkovana cev fi 6/4;3;1094
Kugla ventil fi 1;1;918.8
Kugla ventil fi 6/4;3;2212.3
Klizna spojnica fi 1;1;964
Klizna spojnica fi 6/4;1;2650
Pocinkovani holender fi 6/4;2;536.9
PVC cev fi 125/1000;1;535.01
PVC cev fi 125/250;2;173.69
PVC luk fi 125/90;1;307.68
PVC klizna spojka fi 125;1;493.57
Prelazna guma fi 125;1;170
LG prelaz fi 125;1;1595
PVC cev fi 110/250;3;133.87
PVC luk fi 110/90;1;191.81
PVC luk fi 110/45;4;191.81
PVC klizna spojka fi 110;1;281.89
LG prelaz fi 110;1;1485
Prelazna guma fi 110;2;113
Sikafleks;1;961.54
LG prelaz fi 110;1;1485
PVC luk fi 110/90;1;191.81
PVC cev fi 110/250;2;133.87
HL prelaz fi 110;1;3979
Prelazna guma fi 110;1;113
Sikafleks;1;961.54
Keramički prelaz fi 125;1;2520
PVC cev fi 125/2000;3;1040.36
PVC cev fi 125/1000;2;535.01
PVC cev fi 125/500;2;284.93
PVC cev fi 110/1000;1;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;1;133.87
PVC klizna spojka fi 110;1;281.89
PVC kosa  račva-T fi 125/110;1;456.03
PVC luk fi 110/45;1;191.81
PVC klizna spojka fi 125;1;493.57
Keramički prelaz fi 110;1;1595
PVC redukcija fi 125/110;1;221.52
PVC revizija fi 110;1;329.03
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;1;395.28
PVC cev fi 110/500;2;225.99
PVC cev fi 110/250;2;133.87
PVC luk fi 110/45;2;191.81
PVC redukcija fi 110/75;1;114.9
PVC kosa  račva-T fi 75/50;1;137.1
PVC luk fi 50/45;4;51.25
PVC luk fi 50/90;1;51.25
PVC cev fi 50/1000;1;210.3
PVC cev fi 50/250;1;74.03
LG prelaz fi 75;1;730
Prelazna guma fi 75;1;101
HL prelaz fi 75;1;3152
PVC klizna spojka fi 75;1;246.78
PVC klizna spojka fi 110;1;281.89
HL prelaz fi 110;1;3979
LG prelaz fi 110;1;1485
PVC klizna spojka fi 50;2;133.24
PVC cev fi 50/500;1;119.44
PVC cev fi 110/250;1;133.87
Silikon-tuba 280 ml;1;339
PVC redukcija fi 110/75;1;114.9
Rezna ploča 125 mm;5;123.2
Rezna ploča 230 mm;1;290
PVC cev fi 125/2000;0;1040.36
PVC cev fi 125/1000;0;535.01
PVC cev fi 125/500;0;284.93
PVC luk fi 125/45;0;307.68
PVC luk fi 125/90;0;307.68
PVC revizija fi 125;0;400
LG prelaz fi 125;0;1595
Prelazna guma fi 125;0;170
PVC cev fi 160/2000;5;1710
PVC cev fi 160/1000;2;879.43
PVC cev fi 160/500;4;527.62
PVC cev fi 160/250;4;317.27
PVC revizija fi 160;2;1629
LG prelaz fi 160;2;2220
Prelazna guma fi 160;2;180
PVC klizna spojka fi 160;2;489.36
PVC cev fi 160/1000;2;879.43
PVC cev fi 160/500;2;527.62
PVC luk fi 160/90;2;760.33
PVC revizija fi 160;1;1629
Prelazna guma fi 160;2;180
LG prelaz fi 160;1;2220
PVC revizija fi 160;1;1629
PVC klizna spojka fi 160;1;489.36
PVC cev fi 160/2000;1;1710
PVC cev fi 160/250;0;317.27
Sikafleks;1;961.54
Pocinkovana redukcija 1-3/4;1;73.7
Pocinkovano koleno fi 3/4;2;77.6
Kugla ventil fi 3/4;1;571.8
Pocinkovani dupli nipl fi 3/4;3;58.6
Pocinkovana cev fi 3/4;2;465
Pocinkovana redukcija 3/4-1/2 ;1;50.4
Pocinkovana cev fi 2;1;1200
Klizna spojnica fi 2;1;3716
Pocinkovani dupli nipl fi 2;1;270.9
Pocinkovana cev fi 6/4;7;1094
Pocinkovano koleno fi 6/4;7;298.5
Pocinkovani holender fi 6/4;2;536.9
Pocinkovani dupli nipl fi 6/4;2;184.2
Rezna ploča 125 mm;3;123.2
Pocinkovana cev fi 3/4;1.5;465
Pocinkovana cev fi 1/2;1;200
Čep fi 1/2;0;39.7
Pocinkovano koleno fi 1/2;1;52.4
Klizna spojnica fi 3/4;1;634
Pocinkovani dupli nipl fi 3/4;1;58.6
Pocinkovana redukcija 3/4-1/2 ;2;50.4
Pocinkovani T-komad fi 3/4;1;96.9
Pocinkovani muf fi 1/2;1;44.6
Pocinkovani dupli nipl fi 1/2;2;44.6
PPR cev fi 20;1;122
PPR koleno fi 20/90;0;22
PPR muf fi 20;1;18.35
Pocinkovana cev fi 5/4;6;907
Pocinkovano koleno fi 5/4;4;193.8
Pocinkovani T-komad fi 5/4;2;252
Pocinkovana redukcija 5/4-1/2;2;129.9
Pocinkovana redukcija 5/4-1;1;129.9
Kugla ventil fi 5/4;1;1488.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani muf fi 5/4;4;145.4
Pocinkovani dupli nipl fi 5/4;4;120.2
Map gas;1;688
Kudelja - 100 gr;1;145
Rezna ploča 125 mm;3;123.2
PPR muf fi 20-SN;1;275
PPR koleno fi 20/90;4;22
PPR cev fi 20;0.5;122
Prelazna guma fi 110;2;113
LG prelaz fi 110;1;1485
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;2;395.28
PVC cev fi 110/500;3;225.99
PVC cev fi 110/250;3;133.87
PVC klizna spojka fi 110;1;281.89
PVC luk fi 110/45;3;191.81
PVC luk fi 110/90;1;191.81
PVC revizija fi 110;1;329.03
LG prelaz fi 75;0;730
HL prelaz fi 75;0;3152
PVC cev fi 75/500;0;188.25
PVC cev fi 75/1000;0;310.85
PVC cev fi 75/2000;0;621.87
Prelazna guma fi 75;0;101
PVC klizna spojka fi 75;0;246.78
PVC cev fi 125/2000;2;1040.36
PVC cev fi 125/1000;3;535.01
PVC cev fi 125/500;4;284.93
PVC cev fi 125/250;2;173.69
PVC revizija fi 125;1;400
LG prelaz fi 125;1;1595
PVC klizna spojka fi 125;1;493.57
PVC luk fi 125/45;5;307.68
Prelazna guma fi 125;2;170
PVC cev fi 110/2000;1;790.36
LG prelaz fi 110;1;1485
Prelazna guma fi 110;2;113
Sikafleks;1;961.54
Pocinkovana cev fi 1;4;619
Pocinkovani T-komad fi 1;1;168.7
Klizna spojnica fi 1;1;964
Rezna ploča 125 mm;3;123.2
Pocinkovana redukcija 1-3/4;1;73.7
Pocinkovani dupli nipl fi 3/4;1;58.6
Klizna spojnica fi 3/4;1;634
PVC klizna spojka fi 110;1;281.89
Kugla ventil fi 1;3;918.8
Kugla ventil fi 1/2;0;428.9
Pocinkovana cev fi 1;7;619
Pocinkovana cev fi 1/2;3;200
Pocinkovani dupli nipl fi 1;6;83.4
Pocinkovani dupli nipl fi 1/2;1;44.6
Pocinkovani muf fi 1;1;102.8
Pocinkovani muf fi 1/2;3;44.6
Pocinkovani holender fi 1;2;261.7
Pocinkovani holender fi 1/2;1;191.9
Pocinkovana redukcija 5/4-1;2;129.9
Pocinkovana redukcija 5/4-1/2;2;129.9
Pocinkovano koleno fi 1;3;129.9
Pocinkovano koleno fi 1/2;2;52.4
Pocinkovani T-komad fi 5/4;0;252
Klizna spojnica fi 1/2;0;430
Klizna spojnica fi 1;0;964
Klizna spojnica fi 3/4;2;634
Pocinkovani muf fi 3/4;3;56.2
Kugla ventil fi 6/4;1;2212.3
Klizna spojnica fi 6/4;1;2650
Pocinkovani dupli nipl fi 6/4;1;184.2
Pocinkovana cev fi 6/4;0.6;1094
PVC kosa  račva-T fi 75/50;1;137.1
PVC luk fi 50/45;1;51.25
PVC luk fi 50/90;0;51.25
PVC cev fi 50/250;0;74.03
PVC redukcija fi 50/40;0;0
Kalijev sapun (kutija od 0,75 kg);1;342
Prelazna guma fi 50;1;80
LG prelaz fi 50;0;690
PVC račva-T fi 75/75;0;151.03
Pocinkovana cev fi 5/4;3;907
Pocinkovani holender fi 5/4;2;405.1
Pocinkovano koleno fi 5/4;2;193.8
Pocinkovani T-komad fi 5/4;1;252
Pocinkovani dupli nipl fi 5/4;2;120.2
Pocinkovana redukcija 5/4-1/2;1;129.9
Kugla ventil fi 5/4;1;1488.8
Pocinkovani dupli nipl fi 5/4;2;120.2
Klizna spojnica fi 5/4;1;1588
Pocinkovana cev fi 2;2;1200
Klizna spojnica fi 2;1;3716
Pocinkovani holender fi 2;0;827.3
Pocinkovani muf fi 2;1;295.9
Pocinkovana redukcija 1-3/4;1;73.7
Čep fi 3/4 ;1;44.6
Pocinkovana cev fi 1;3;619
Pocinkovani muf fi 1;2;102.8
Klizna spojnica fi 1;1;964
Pocinkovani dupli nipl fi 1;1;83.4
Pocinkovani T-komad fi 1;1;168.7
Virbla za propusni ventil fi 2;0;2300
Virbla za propusni ventil fi 5/4;1;1411
Pocinkovana cev fi 1;0;619
Pocinkovani holender fi 1;0;261.7
Kugla ventil fi 5/4;3;1488.8
Kugla ventil fi 1;2;918.8
Pocinkovani holender fi 5/4;2;405.1
Pocinkovani holender fi 1;2;261.7
Pocinkovano koleno fi 5/4;6;193.8
Pocinkovano koleno fi 1;5;129.9
Pocinkovana cev fi 5/4;4;907
Pocinkovana cev fi 1;4.5;619
Pocinkovani dupli nipl fi 5/4;5;120.2
Pocinkovani dupli nipl fi 1;4;83.4
Pocinkovano koleno fi 5/4;2;193.8
Pocinkovani T-komad fi 5/4;2;252
Pocinkovana redukcija 5/4-1;1;129.9
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovani dupli nipl fi 5/4;8;120.2
Pocinkovani dupli nipl fi 1;8;83.4
Kugla ventil fi 6/4;1;2212.3
Kugla ventil fi 5/4;3;1488.8
Kugla ventil fi 1;1;918.8
Pocinkovana cev fi 6/4;6;1094
Pocinkovana cev fi 5/4;6;907
Pocinkovana cev fi 1;2;619
Pocinkovani holender fi 6/4;1;536.9
Pocinkovani holender fi 5/4;2;405.1
Pocinkovani holender fi 1;1;261.7
Pocinkovani muf fi 5/4;1;145.4
Kudelja - 100 gr;1;145
Rezna ploča 125 mm;2;123.2
Pocinkovana cev fi 6/4;5;1094
Pocinkovani holender fi 6/4;3;536.9
Pocinkovano koleno fi 6/4;1;298.5
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovani muf fi 6/4;3;178.3
Kugla ventil fi 6/4;1;2212.3
Okiten fi 40;2;72
PP spojka fi 40;2;1079
Pocinkovani dupli nipl fi 6/4;2;184.2
Klizna spojnica fi 6/4;1;2650
Mesingani ventil fi 6/4;1;4865
Pocinkovana cev fi 6/4;1;1094
Mesingani ventil fi 2;0;6095
Pocinkovano koleno fi 2;0;416.8
Klizna spojnica fi 2;0;3716
Pocinkovani T-komad fi 2;0;521
Pocinkovani dupli nipl fi 2;0;270.9
Pocinkovana cev fi 2;0;1200
Kudelja - 100 gr;1;145
Rezna ploča 125 mm;2;123.2
LG prelaz fi 110;1;1485
Prelazna guma fi 110;2;113
PVC klizna spojka fi 110;1;281.89
PVC cev fi 110/1000;2;395.28
PVC revizija fi 110;1;329.03
Pocinkovana cev fi 3;12;1997
Pocinkovani holender fi 3;1;2434.8
Pocinkovani muf fi 3;1;823.6
Klizna spojnica fi 3;0;5285
Pocinkovana cev fi 6/4;2;1094
Pocinkovani holender fi 6/4;0;536.9
Pocinkovani dupli nipl fi 6/4;0;184.2
Rezna ploča 125 mm;2;123.2
Prelazna guma fi 110;2;113
LG prelaz fi 110;1;1485
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;2;395.28
PVC cev fi 110/500;3;225.99
PVC cev fi 110/250;3;133.87
PVC klizna spojka fi 110;1;281.89
PVC luk fi 110/45;3;191.81
PVC luk fi 110/90;1;191.81
PVC revizija fi 110;1;329.03
Silikon-tuba 280 ml;1;339
HL prelaz fi 110;1;3979
PVC luk fi 110/45;4;191.81
PVC luk fi 110/90;2;191.81
PVC redukcija fi 160/110;1;391.77
PVC klizna spojka fi 110;1;281.89
PVC revizija fi 110;1;329.03
PVC cev fi 110/2000;2;790.36
PVC cev fi 110/1000;0;395.28
PVC cev fi 110/500;2;225.99
Sikafleks;1;961.54
Kugla ventil fi 2 1/2;1;6132
Pocinkovani dupli nipl fi 2 1/2;2;452.2
Pocinkovani holender fi 2 1/2;1;1427.4
Pocinkovana cev fi 2 1/2;0.6;1335
Pocinkovani muf fi 2 1/2;1;521
PVC luk fi 110/90;1;191.81
PVC luk fi 110/45;0;191.81
PVC cev fi 110/250;1;133.87
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;0;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;2;133.87
PVC luk fi 110/45;2;191.81
PVC luk fi 110/90;1;191.81
LG prelaz fi 110;1;1485
Prelazna guma fi 110;1;113
Pocinkovano koleno fi 2;1;416.8
Pocinkovana cev fi 2;1.5;1200
Klizna spojnica fi 2;1;3716
Pocinkovani dupli nipl fi 2;2;270.9
Pocinkovana cev fi 6/4;3;1094
Klizna spojnica fi 6/4;2;2650
Pocinkovano koleno fi 6/4;2;298.5
Pocinkovana redukcija 2-6/4;2;222.4
Pocinkovani dupli nipl fi 6/4;4;184.2
Kudelja - 100 gr;1;145
Rezna ploča 125 mm;2;123.2
Pocinkovani holender fi 5/4;1;405.1
Prelazna guma fi 160;2;180
LG prelaz fi 110;2;1485
Prelazna guma fi 110;2;113
PVC redukcija fi 160/110;2;391.77
PVC luk fi 160/90;2;760.33
PVC kosa  račva-T fi 160/160;1;1365.96
Sikafleks;1;961.54
PVC cev fi 160/250;2;317.27
PVC cev fi 160/500;2;527.62
Pocinkovana cev fi 3/4;2;465
Pocinkovani dupli nipl fi 3/4;4;58.6
Kugla ventil fi 3/4;2;571.8
Klizna spojnica fi 3/4;2;634
Pocinkovani holender fi 3/4;2;236.5
PVC cev fi 75/1000;2;310.85
LG prelaz fi 75;1;730
Prelazna guma fi 75;2;101
PVC klizna spojka fi 75;1;246.78
PVC cev fi 75/500;1;188.25
Pocinkovana cev fi 5/4;2;907
Kugla ventil fi 5/4;1;1488.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;1;120.2
Pocinkovana cev fi 2 1/2;1;1335
Pocinkovani dupli nipl fi 2 1/2;2;452.2
Pocinkovani muf fi 2 1/2;1;521
Pocinkovano koleno fi 2 1/2;1;731.4
Kugla ventil fi 5/4;2;1488.8
Kugla ventil fi 1;1;918.8
Klizna spojnica fi 5/4;2;1588
Klizna spojnica fi 1;1;964
Pocinkovani dupli nipl fi 5/4;4;120.2
Pocinkovani dupli nipl fi 1;2;83.4
Pocinkovana cev fi 5/4;3;907
Pocinkovana cev fi 1;1;619
Virbla za propusni ventil fi 1/2;2;374
Kugla ventil fi 5/4;2;1488.8
Kugla ventil fi 6/4;1;2212.3
Pocinkovani holender fi 5/4;2;405.1
Pocinkovani holender fi 6/4;1;536.9
Pocinkovani dupli nipl fi 5/4;4;120.2
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovana redukcija 6/4-5/4;2;151.2
Pocinkovana cev fi 5/4;4;907
Pocinkovano koleno fi 5/4;1;193.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani muf fi 5/4;2;145.4
Pocinkovani dupli nipl fi 5/4;1;120.2
Rezna ploča 125 mm;3;123.2
Kudelja - 100 gr;1;145
Map gas;1;688
Pocinkovani dupli nipl fi 2;2;270.9
Pocinkovani dupli nipl fi 6/4;6;184.2
Kugla ventil fi 2;1;2715
Kugla ventil fi 6/4;3;2212.3
Pocinkovana cev fi 2;1;1200
Pocinkovana cev fi 6/4;3.5;1094
Pocinkovani holender fi 6/4;2;536.9
Klizna spojnica fi 6/4;1;2650
Klizna spojnica fi 2;1;3716
Kugla ventil fi 1;1;918.8
Klizna spojnica fi 1;1;964
Pocinkovani dupli nipl fi 1;2;83.4
Rezna ploča 125 mm;2;123.2
Kugla ventil fi 3/4;1;571.8
Pocinkovani dupli nipl fi 3/4;2;58.6
Klizna spojnica fi 3/4;1;634
PVC cev fi 160/1000;1;879.43
PVC cev fi 160/500;1;527.62
PVC cev fi 160/250;2;317.27
LG prelaz fi 160;1;2220
Prelazna guma fi 160;4;180
PVC revizija fi 160;2;1629
PVC kosa  račva-T fi 160/160;1;1365.96
PVC redukcija fi 160/125;2;413.56
PVC klizna spojka fi 160;2;489.36
LG prelaz fi 125;1;1595
Prelazna guma fi 125;2;170
PVC cev fi 125/2000;3;1040.36
PVC cev fi 125/1000;1;535.01
PVC revizija fi 125;1;400
PVC klizna spojka fi 125;1;493.57
Sikafleks;1;961.54
PVC luk fi 160/45;1;760.3
PVC cev fi 125/500;1;284.93
Rezna ploča 125 mm;4;123.2
PVC cev fi 110/1000;2;395.28
PVC cev fi 110/500;1;225.99
LG prelaz fi 110;1;1485
PVC klizna spojka fi 110;1;281.89
Prelazna guma fi 110;2;113
Pocinkovana cev fi 5/4;3;907
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;2;120.2
Pocinkovani muf fi 5/4;1;145.4
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;1;395.28
PVC cev fi 110/500;2;225.99
PVC cev fi 110/250;2;133.87
LG prelaz fi 110;1;1485
HL prelaz fi 110;1;3979
Prelazna guma fi 110;2;113
Sikafleks;1;961.54
PVC kosa  račva-T fi 110/110;1;349.21
PVC luk fi 50/45;4;51.25
PVC cev fi 50/250;2;74.03
Prelazna guma fi 75;1;101
PVC redukcija fi 50/40;1;0
PVC cev fi 40/250;1;0
LG prelaz fi 75;1;730
