Naziv;Kolicina;Cena stavke
Pocinkovani holender fi 2;1;827.3
Pocinkovano koleno fi 2;1;416.8
Pocinkovani T-komad fi 5/4;1;252
Pocinkovani dupli nipl fi 5/4;1;120.2
Klizna spojnica fi 5/4;1;1588
Pocinkovana redukcija 5/4-1/2;1;129.9
Mesingani ventil fi 1/2;2;633
Pocinkovano koleno fi 1/2;2;52.4
Pocinkovani dupli nipl fi 1/2;2;44.6
LG prelaz fi 125;2;1595
Prelazna guma fi 125;4;170
PVC cev fi 125/1000;10;535.01
PVC cev fi 125/500;4;284.93
PVC cev fi 125/250;2;173.69
PVC klizna spojka fi 125;2;493.57
Sikafleks;1;961.54
PVC cev fi 200/2000;5;2691.53
PVC cev fi 200/1000;6;1403.43
PVC kosa  račva-T fi 200/200;2;2359.83
PVC kosa  račva-T fi 200/160;3;0
PVC cev fi 160/1000;1;879.43
PVC cev fi 160/250;2;317.27
PVC redukcija fi 160/110;2;391.77
PVC klizna spojka fi 200 ;3;848.88
PVC klizna spojka fi 160;2;489.36
PVC luk fi 200/45;2;1576.49
PVC luk fi 160/45;2;760.3
PVC slivnik fi 110-vertikalni;1;0
Kalijev sapun (kutija od 0,75 kg);1;342
PVC redukcija fi 160/125;1;413.56
PVC luk fi 200/90;1;1576.49
PVC luk fi 125/45;2;307.68
PVC luk fi 110/45;2;191.81
PVC redukcija fi 200/160;1;896.87
Sikafleks;2;961.54
Pocinkovana cev fi 5/4;8;907
Kugla ventil fi 5/4;1;1488.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;2;120.2
Pocinkovano koleno fi 5/4;1;193.8
PVC cev fi 110/1000;0;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;1;133.87
LG prelaz fi 110;1;1485
HL prelaz fi 110;1;3979
PVC klizna spojka fi 110;1;281.89
Prelazna guma fi 110;2;113
Kugla ventil fi 5/4;1;1488.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;1;120.2
Pocinkovana cev fi 5/4;3;907
Virbla za propusni ventil fi 5/4;2;1411
Virbla za propusni ventil fi 1;2;1074
Kugla ventil fi 6/4;1;2212.3
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovani muf fi 6/4;3;178.3
Pocinkovani holender fi 6/4;1;536.9
Pocinkovano koleno fi 6/4;2;298.5
Pocinkovana cev fi 6/4;10;1094
PVC cev fi 110/1000;4;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;1;133.87
PVC klizna spojka fi 110;1;281.89
LG prelaz fi 110;1;1485
Prelazna guma fi 110;2;113
Pocinkovani dupli nipl fi 1;4;83.4
Klizna spojnica fi 1;2;964
Kugla ventil fi 1;2;918.8
Pocinkovani muf fi 1;2;102.8
LG prelaz fi 75;1;730
PVC klizna spojka fi 75;1;246.78
PVC cev fi 75/500;1;188.25
Prelazna guma fi 75;2;101
Okiten fi 63;16;175
PP poluspojka fi 63;1;2372
