 30 ; 80.01.01.030 ;" Nabavka i ugradnja pocinkovane cevi 2"" dužine do 2m1. "; M ;0,00;4.494,00;100;0,00; 328413 ;3450;2587,5;2696,4;2.471,70;Zamena
 31 ; 80.01.01.031 ;" Nabavka i ugradnja pocinkovane cevi 2 1/2"" dužine do 2m1. "; M ;0,00;6.339,00;60;0,00; 328414 ;5082;3811,5;3803,4;3.486,45;Zamena
 32 ; 80.01.01.032 ;" Nabavka i ugradnja pocinkovane cevi 3"" dužine do 2m1. "; M ;0,00;7.323,00;40;0,00; 328415 ;5724;4293;4393,8;4.027,65;Zamena
 33 ; 80.01.01.033 ;" Demontaža oštećene pocinkovane cevi 1/2"" dužine preko 2m1. "; M ;0,00;447,00;200;0,00; 328416 ;240;180;268,2;245,85;Zamena
 34 ; 80.01.01.034 ;" Demontaža oštećene pocinkovane cevi 3/4"" dužine preko 2m1. "; M ;0,00;447,00;180;0,00; 328417 ;240;180;268,2;245,85;Zamena
 35 ; 80.01.01.035 ;" Demontaža oštećene pocinkovane cevi 1"" dužine preko 2m1. "; M ;0,00;539,00;160;0,00; 328418 ;370;277,5;323,4;296,45;Zamena
 36 ; 80.01.01.036 ;" Demontaža oštećene pocinkovane cevi 5/4"" dužine preko 2m1. "; M ;0,00;539,00;140;0,00; 328419 ;370;277,5;323,4;296,45;Zamena
 37 ; 80.01.01.037 ;" Demontaža oštećene pocinkovane cevi 6/4"" dužine preko 2m1. "; M ;0,00;668,00;120;0,00; 328420 ;370;277,5;400,8;367,40;Zamena
 38 ; 80.01.01.038 ;" Demontaža oštećene pocinkovane cevi 2"" dužine preko 2m1. "; M ;0,00;850,00;60;0,00; 328532 ;620;465;510;467,50;Zamena
 39 ; 80.01.01.039 ;" Demontaža oštećene pocinkovane cevi 2 1/2"" dužine preko 2m1. "; M ;0,00;1.220,00;40;0,00; 328533 ;1156;867;732;671,00;Zamena
 40 ; 80.01.01.040 ;" Demontaža oštećene pocinkovane cevi 3"" dužine preko 2m1. "; M ;0,00;1.425,00;40;0,00; 328534 ;1387;1040,25;855;783,75;Zamena
 41 ; 80.01.01.041 ;" Nabavka i ugradnja pocinkovane cevi 1/2"" dužine preko 2m1. "; M ;0,00;1.456,00;200;0,00; 328535 ;1057;792,75;873,6;800,80;Zamena
 42 ; 80.01.01.042 ;" Nabavka i ugradnja pocinkovane cevi 3/4"" dužine preko 2m1. "; M ;0,00;1.567,00;180;0,00; 328536 ;1152;864;940,2;861,85;Zamena
 43 ; 80.01.01.043 ;" Nabavka i ugradnja pocinkovane cevi 1"" dužine preko 2m1. "; M ;0,00;2.021,00;160;0,00; 328537 ;1521;1140,75;1212,6;1.111,55;Zamena
 44 ; 80.01.01.044 ;" Nabavka i ugradnja pocinkovane cevi 5/4"" dužine preko 2m1. "; M ;0,00;2.241,00;140;0,00; 328538 ;1711;1283,25;1344,6;1.232,55;Zamena
 45 ; 80.01.01.045 ;" Nabavka i ugradnja pocinkovane cevi 6/4"" dužine preko 2m1. "; M ;0,00;2.647,00;120;0,00; 328539 ;2079;1559,25;1588,2;1.455,85;Zamena
 46 ; 80.01.01.046 ;" Nabavka i ugradnja pocinkovane cevi 2"" dužine preko 2m1. "; M ;0,00;3.766,00;60;0,00; 328540 ;3249;2436,75;2259,6;2.071,30;Zamena
 47 ; 80.01.01.047 ;" Nabavka i ugradnja pocinkovane cevi 2 1/2"" dužine preko 2m1. "; M ;0,00;5.293,00;40;0,00; 328541 ;4487;3365,25;3175,8;2.911,15;Zamena
 48 ; 80.01.01.048 ;" Nabavka i ugradnja pocinkovane cevi 3"" dužine preko 2m1. "; M ;0,00;6.102,00;40;0,00; 328542 ;5129;3846,75;3661,2;3.356,10;Zamena
 49 ; 80.01.02.001 ;" Zamena pocinkovanog kolena 1/2"" "; kom ;0,00;1.612,00;400;0,00; 328543 ;1.612,00;1209;967,2;886,60;Zamena
 50 ; 80.01.02.002 ;" Zamena pocinkovanog kolena 3/4"" "; kom ;0,00;1.165,00;300;0,00; 328544 ;1.165,00;873,75;699;640,75;Zamena
 51 ; 80.01.02.003 ;" Zamena pocinkovanog kolena 1"" "; kom ;0,00;1.990,00;200;0,00; 328545 ;1.990,00;1492,5;1194;1.094,50;Zamena
 52 ; 80.01.02.004 ;" Zamena pocinkovanog kolena 5/4"" "; kom ;0,00;2.073,00;100;0,00; 328546 ;2.073,00;1554,75;1243,8;1.140,15;Zamena
 53 ; 80.01.02.005 ;" Zamena pocinkovanog kolena 6/4"" "; kom ;0,00;2.549,00;100;0,00; 328547 ;2.549,00;1911,75;1529,4;1.401,95;Zamena
 54 ; 80.01.02.006 ;" Zamena pocinkovanog kolena 2"" "; kom ;0,00;3.276,00;100;0,00; 328548 ;3.276,00;2457;1965,6;1.801,80;Zamena
 55 ; 80.01.02.007 ;" Zamena pocinkovanog kolena 2 1/2"" "; kom ;0,00;4.780,00;30;0,00; 328549 ;4.780,00;3585;2868;2.629,00;Zamena
 56 ; 80.01.02.008 ;" Zamena pocinkovanog kolena 3"" "; kom ;0,00;5.846,00;40;0,00; 328550 ;5.846,00;4384,5;3507,6;3.215,30;Zamena
 57 ; 80.01.02.009 ;" Demontaža pocinkovanog kolena 1/2"" "; kom ;0,00;478,00;400;0,00; 328551 ;478,00;358,5;286,8;262,90;Zamena
 58 ; 80.01.02.010 ;" Demontaža  pocinkovanog kolena 3/4"" "; kom ;0,00;478,00;300;0,00; 328552 ;478,00;358,5;286,8;262,90;Zamena
