Broj Fakture;Datum PDV;Iznos/Osnovica;Penal;PDV;Iznos sa penalom i PDV;PG Iznos/Osnovica;PG PDV;PG Penal;PG Iznos sa PDVom;Vrsta Naloga
GS-1555/2026;05.02.2026;12740.00;0.00;2548.00;15288.00;8599.50;1719.90;0.00;10319.40;NEODLOZNO
GS-1608/2026;05.02.2026;31945.90;0.00;6389.18;38335.08;21563.48;4312.70;0.00;25876.18;NEODLOZNO
GS-1521/2026;05.02.2026;46154.50;0.00;9230.90;55385.40;31154.29;6230.86;0.00;37385.15;NEODLOZNO
GS-1520/2026;05.02.2026;30100.00;0.00;6020.00;36120.00;20317.50;4063.50;0.00;24381.00;NEODLOZNO
GS-1515/2026;05.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1613/2026;05.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1522/2026;05.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1525/2026;05.02.2026;45858.80;0.00;9171.76;55030.56;30954.69;6190.94;0.00;37145.63;NEODLOZNO
GS-1646/2026;05.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1591/2026;05.02.2026;31138.20;0.00;6227.64;37365.84;21018.29;4203.66;0.00;25221.94;NEODLOZNO
GS-1545/2026;05.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1589/2026;05.02.2026;14982.40;0.00;2996.48;17978.88;10113.12;2022.62;0.00;12135.74;NEODLOZNO
GS-1552/2026;05.02.2026;39600.00;0.00;7920.00;47520.00;26730.00;5346.00;0.00;32076.00;NEODLOZNO
GS-1612/2026;05.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1546/2026;05.02.2026;8300.00;0.00;1660.00;9960.00;5602.50;1120.50;0.00;6723.00;NEODLOZNO
GS-1610/2026;05.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1590/2026;05.02.2026;17070.80;0.00;3414.16;20484.96;11522.79;2304.56;0.00;13827.35;NEODLOZNO
GS-1524/2026;05.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1514/2026;05.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1523/2026;05.02.2026;20429.80;0.00;4085.96;24515.76;13790.11;2758.02;0.00;16548.14;NEODLOZNO
