Broj naloga;Mesec;Radna Jedinica;Tip;Iznos
1741640;Februar 2024;VOŽDOVAC;ZAMENA;33590.00
1741644;Februar 2024;ČUKARICA;ZAMENA;327942.00
1741646;Februar 2024;VOŽDOVAC;SAJLA;19220.00
1741649;Februar 2024;VOŽDOVAC;ZAMENA;6638.00
1741650;Februar 2024;ČUKARICA;ZAMENA;292127.00
1741653;Februar 2024;VOŽDOVAC;ZAMENA;4952.00
1741656;Februar 2024;VOŽDOVAC;ZAMENA;4952.00
1741657;Februar 2024;VOŽDOVAC;ZAMENA;4952.00
1741658;Februar 2024;ČUKARICA;SAJLA;19220.00
1741660;Februar 2024;PALILULA;WOMA;33500.00
1741662;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741665;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741666;Februar 2024;VRAČAR;ZAMENA;20360.00
1741667;Februar 2024;PALILULA;LOKALNO;6900.00
1741668;Februar 2024;PALILULA;WOMA;33500.00
1741669;Februar 2024;ČUKARICA;KOPANJE;384628.50
1741673;Februar 2024;VRAČAR;SAJLA;18520.00
1741674;Februar 2024;ČUKARICA;KOPANJE;433822.05
1741677;Februar 2024;NOVI BEOGRAD;WOMA;30900.00
1741681;Februar 2024;ČUKARICA;SAJLA;17220.00
1741685;Februar 2024;ČUKARICA;ZAMENA;32770.00
1741686;Februar 2024;ČUKARICA;ZAMENA;573300.00
1741688;Februar 2024;VOŽDOVAC;WOMA;33500.00
1741689;Februar 2024;PALILULA;WOMA;5000.00
1741691;Februar 2024;ČUKARICA;WOMA;30900.00
1741693;Februar 2024;PALILULA;LOKALNO;9200.00
1741694;Februar 2024;VOŽDOVAC;WOMA;41500.00
1741696;Februar 2024;PALILULA;LOKALNO;6900.00
1741697;Februar 2024;ČUKARICA;SAJLA;16220.00
1741698;Februar 2024;PALILULA;ZAMENA;65640.00
1741700;Februar 2024;PALILULA;LOKALNO;9200.00
1741701;Februar 2024;VRAČAR;WOMA;33500.00
1741703;Februar 2024;VOŽDOVAC;ZAMENA;29366.00
1741705;Februar 2024;VRAČAR;ZAMENA;14872.00
1741707;Februar 2024;PALILULA;WOMA;46900.00
1741709;Februar 2024;PALILULA;SAJLA;16410.00
1741710;Februar 2024;PALILULA;LOKALNO;9200.00
1741711;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741712;Februar 2024;PALILULA;SAJLA;18410.00
1741713;Februar 2024;ZEMUN;WOMA;36300.00
1741715;Februar 2024;STARI GRAD;LOKALNO;2300.00
1741716;Februar 2024;ZVEZDARA;SAJLA;19220.00
1741719;Februar 2024;STARI GRAD;ZAMENA;72530.00
1741721;Februar 2024;STARI GRAD;SAJLA;19440.00
1741724;Februar 2024;ZEMUN;WOMA;41500.00
1741727;Februar 2024;STARI GRAD;SAJLA;16220.00
1741728;Februar 2024;STARI GRAD;WOMA;38900.00
1741729;Februar 2024;PALILULA;ZAMENA;18016.00
1741732;Februar 2024;PALILULA;ZAMENA;20822.40
1741733;Februar 2024;PALILULA;ZAMENA;43444.00
1741735;Februar 2024;RAKOVICA;SAJLA;11600.00
1741736;Februar 2024;STARI GRAD;LOKALNO;6900.00
