Broj Fakture;Datum PDV;Iznos/Osnovica;Penal;PDV;Iznos sa penalom i PDV;PG Iznos/Osnovica;PG PDV;PG Penal;PG Iznos sa PDVom;Vrsta Naloga
GS-8758/2025;30.06.2025;45569.00;0.00;9113.80;54682.80;30759.08;6151.82;0.00;36910.89;NEODLOZNO
GS-8694/2025;30.06.2025;18259.30;0.00;3651.86;21911.16;12325.03;2465.01;0.00;14790.03;NEODLOZNO
GS-8756/2025;30.06.2025;53500.00;0.00;10700.00;64200.00;36112.50;7222.50;0.00;43335.00;NEODLOZNO
GS-8740/2025;30.06.2025;363770.20;0.00;72754.04;436524.24;245544.89;49108.98;0.00;294653.86;TEKUCE
GS-8709/2025;30.06.2025;495220.00;0.00;99044.00;594264.00;334273.50;66854.70;0.00;401128.20;NEODLOZNO
GS-8693/2025;30.06.2025;101254.80;0.00;20250.96;121505.76;68346.99;13669.40;0.00;82016.39;NEODLOZNO
GS-8772/2025;30.06.2025;57655.00;0.00;11531.00;69186.00;38917.13;7783.43;0.00;46700.55;NEODLOZNO
GS-8717/2025;30.06.2025;62502.00;0.00;12500.40;75002.40;42188.85;8437.77;0.00;50626.62;NEODLOZNO
GS-8702/2025;30.06.2025;5000.00;0.00;1000.00;6000.00;3375.00;675.00;0.00;4050.00;NEODLOZNO
GS-8745/2025;30.06.2025;5114.00;0.00;1022.80;6136.80;3451.95;690.39;0.00;4142.34;NEODLOZNO
GS-8794/2025;30.06.2025;199650.00;0.00;39930.00;239580.00;134763.75;26952.75;0.00;161716.50;NEODLOZNO
GS-8732/2025;30.06.2025;147548.70;0.00;29509.74;177058.44;99595.37;19919.07;0.00;119514.45;NEODLOZNO
GS-8700/2025;30.06.2025;60173.75;0.00;12034.75;72208.50;40617.28;8123.46;0.00;48740.74;NEODLOZNO
GS-8714/2025;30.06.2025;137994.00;0.00;27598.80;165592.80;93145.95;18629.19;0.00;111775.14;NEODLOZNO
GS-8790/2025;30.06.2025;106539.30;0.00;21307.86;127847.16;71914.03;14382.81;0.00;86296.83;NEODLOZNO
GS-8797/2025;30.06.2025;143672.00;0.00;28734.40;172406.40;96978.60;19395.72;0.00;116374.32;NEODLOZNO
GS-8762/2025;30.06.2025;152160.00;0.00;30432.00;182592.00;102708.00;20541.60;0.00;123249.60;NEODLOZNO
GS-8744/2025;30.06.2025;45455.20;0.00;9091.04;54546.24;30682.26;6136.45;0.00;36818.71;NEODLOZNO
GS-8763/2025;30.06.2025;7018.00;0.00;1403.60;8421.60;4737.15;947.43;0.00;5684.58;NEODLOZNO
GS-8781/2025;30.06.2025;109705.00;0.00;21941.00;131646.00;74050.88;14810.18;0.00;88861.05;NEODLOZNO
GS-8753/2025;30.06.2025;53982.00;0.00;10796.40;64778.40;36437.85;7287.57;0.00;43725.42;NEODLOZNO
GS-8767/2025;30.06.2025;54193.00;0.00;10838.60;65031.60;36580.28;7316.06;0.00;43896.33;NEODLOZNO
GS-8760/2025;30.06.2025;54993.00;0.00;10998.60;65991.60;37120.28;7424.06;0.00;44544.33;NEODLOZNO
GS-8680/2025;30.06.2025;61385.00;0.00;12277.00;73662.00;41434.88;8286.98;0.00;49721.85;TEKUCE
GS-8692/2025;30.06.2025;3255.00;0.00;651.00;3906.00;2197.13;439.43;0.00;2636.55;NEODLOZNO
GS-8736/2025;30.06.2025;44192.00;0.00;8838.40;53030.40;29829.60;5965.92;0.00;35795.52;NEODLOZNO
GS-8739/2025;30.06.2025;167776.00;0.00;33555.20;201331.20;113248.80;22649.76;0.00;135898.56;NEODLOZNO
GS-8786/2025;30.06.2025;18240.10;0.00;3648.02;21888.12;12312.07;2462.41;0.00;14774.48;NEODLOZNO
GS-8749/2025;30.06.2025;85143.00;0.00;17028.60;102171.60;57471.53;11494.31;0.00;68965.83;NEODLOZNO
GS-8801/2025;30.06.2025;47684.00;0.00;9536.80;57220.80;32186.70;6437.34;0.00;38624.04;NEODLOZNO
GS-8738/2025;30.06.2025;2300.00;0.00;460.00;2760.00;1552.50;310.50;0.00;1863.00;NEODLOZNO
GS-8769/2025;30.06.2025;14909.00;0.00;2981.80;17890.80;10063.58;2012.72;0.00;12076.29;NEODLOZNO
GS-8787/2025;30.06.2025;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-8737/2025;30.06.2025;37324.20;0.00;7464.84;44789.04;25193.83;5038.77;0.00;30232.60;NEODLOZNO
GS-8724/2025;30.06.2025;2300.00;0.00;460.00;2760.00;1552.50;310.50;0.00;1863.00;NEODLOZNO
GS-8755/2025;30.06.2025;10140.00;0.00;2028.00;12168.00;6844.50;1368.90;0.00;8213.40;NEODLOZNO
GS-8733/2025;30.06.2025;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-8683/2025;30.06.2025;92143.80;0.00;18428.76;110572.56;62197.07;12439.41;0.00;74636.48;NEODLOZNO
